Date,Adj Close,Close,High,Low,Open,Volume
2023-10-20,229.48765563964844,233.3800048828125,235.77000427246094,232.63999938964844,234.1300048828125,5748300
2023-10-23,227.66851806640625,231.52999877929688,234.4600067138672,231.27999877929688,231.36000061035156,5071700
2023-10-24,230.7364959716797,234.64999389648438,236.52999877929688,232.88999938964844,232.88999938964844,6844100
2023-10-25,232.89979553222656,236.85000610351562,238.47999572753906,231.2899932861328,232.25,10365300
2023-10-26,227.42266845703125,231.27999877929688,235.61000061035156,230.36000061035156,234.57000732421875,6414500
2023-10-27,225.44619750976562,229.27000427246094,231.38999938964844,228.02999877929688,231.1699981689453,5540900
2023-10-30,229.19265747070312,233.0800018310547,233.3800048828125,230.02999877929688,232.19000244140625,5170300
2023-10-31,231.17898559570312,235.10000610351562,235.72000122070312,232.99000549316406,233.57000732421875,4828400
2023-11-01,234.6009521484375,238.5800018310547,239.0399932861328,235.67999267578125,236.13999938964844,4996200
2023-11-02,239.19302368164062,243.25,243.25,239.1999969482422,239.91000366210938,6286700
2023-11-03,239.5371856689453,243.60000610351562,245.32000732421875,242.25999450683594,245.1199951171875,5029800
2023-11-06,239.4290771484375,243.49000549316406,244.77999877929688,242.61000061035156,244.0,5254100
2023-11-07,240.6876983642578,244.77000427246094,245.07000732421875,243.3800048828125,243.41000366210938,4219700
2023-11-08,240.35267639160156,243.91000366210938,244.75,242.8000030517578,243.49000549316406,5117500
2023-11-09,238.11575317382812,241.63999938964844,244.47999572753906,240.97000122070312,244.3300018310547,4866600
2023-11-10,241.67308044433594,245.25,245.27000427246094,241.97000122070312,243.97999572753906,4094400
2023-11-13,241.1015625,244.6699981689453,245.67999267578125,244.11000061035156,245.0,4088500
2023-11-14,243.33847045898438,246.94000244140625,247.92999267578125,245.5800018310547,246.1699981689453,14092000
2023-11-15,244.4913787841797,248.11000061035156,248.24000549316406,245.33999633789062,246.80999755859375,13258900
2023-11-16,244.9447021484375,248.57000732421875,249.4499969482422,247.27000427246094,248.58999633789062,7051600
2023-11-17,245.9202423095703,249.55999755859375,250.24000549316406,248.66000366210938,249.4499969482422,7238200
2023-11-20,246.32427978515625,249.97000122070312,250.92999267578125,245.60000610351562,249.61000061035156,8604200
2023-11-21,248.55130004882812,252.22999572753906,253.33999633789062,250.02999877929688,250.02999877929688,7213700
2023-11-22,250.0195770263672,253.72000122070312,254.5399932861328,252.66000366210938,253.0,5701400
